Molecule,mpC
CMP007702,181
CMP007703,-9
CMP007704,40
CMP007705,18
CMP007706,-5
CMP007707,-18
CMP007708,-78
CMP007709,-10
CMP007710,-91
CMP007711,64
CMP007712,-7
CMP007713,92
CMP007714,-126
CMP007715,-143
CMP007716,113
CMP007717,105
CMP007718,128
CMP007719,142
CMP007720,203
CMP007721,69
CMP007722,133
CMP007723,105
CMP007724,117
CMP007725,84
CMP007726,79
CMP007727,-78
CMP007728,67
CMP007729,175
CMP007730,42
CMP007731,-5
CMP007732,63
CMP007733,87
CMP007734,95
CMP007735,109
CMP007736,96
CMP007737,-30
CMP007738,-27
CMP007739,-23
CMP007740,73
CMP007741,64
CMP007742,123
CMP007743,127
CMP007744,-47
CMP007745,75
CMP007746,35
CMP007747,226
CMP007748,115
CMP007749,188
CMP007750,167
CMP007751,179
CMP007752,191
CMP007753,142
CMP007754,107
CMP007755,82
CMP007756,221
CMP007757,219
CMP007758,103
CMP007759,-28
CMP007760,128
CMP007761,60
CMP007762,144
CMP007763,99
CMP007764,125
CMP007765,-18
CMP007766,74
CMP007767,146
CMP007768,198
CMP007769,78
CMP007770,111
CMP007771,156
CMP007772,152
CMP007773,141
CMP007774,71
CMP007775,79
CMP007776,129
CMP007777,293
CMP007778,118
CMP007779,173
CMP007780,197
CMP007781,66
CMP007782,208
CMP007783,296
CMP007784,194
CMP007785,179
CMP007786,190
CMP007787,186
CMP007788,179
CMP007789,174
CMP007790,178
CMP007791,63
CMP007792,89
CMP007793,60
CMP007794,120
CMP007795,70
CMP007796,127
CMP007797,57
CMP007798,152
CMP007799,124
CMP007800,119
CMP007801,184
CMP007802,184
CMP007803,68
CMP007804,80
CMP007805,147
CMP007806,102
CMP007807,133
CMP007808,165
CMP007809,53
CMP007810,114
CMP007811,81
CMP007812,50
CMP007813,95
CMP007814,85
CMP007815,144
CMP007816,34
CMP007817,25
CMP007818,180
CMP007819,148
CMP007820,-10
CMP007821,142
CMP007822,151
CMP007823,-55
CMP007824,-55
CMP007825,50
CMP007826,144
CMP007827,46
CMP007828,-2
CMP007829,52
CMP007830,130
CMP007831,72
CMP007832,174
CMP007833,140
CMP007834,239
CMP007835,70
CMP007836,24
CMP007837,123
CMP007838,35
CMP007839,232
CMP007840,-60
CMP007841,82
CMP007842,-38
CMP007843,30
CMP007844,4
CMP007845,-25
CMP007846,180
CMP007847,77
CMP007848,110
CMP007849,70
CMP007850,10
CMP007851,-70
CMP007852,59
CMP007853,128
CMP007854,165
CMP007855,86
CMP007856,-20
CMP007857,2
CMP007858,44
CMP007859,-60
CMP007860,-20
CMP007861,-140
CMP007862,-61
CMP007863,-85
CMP007864,181
CMP007865,48
CMP007866,-15
CMP007867,-57
CMP007868,216
CMP007869,36
CMP007870,-25
CMP007871,85
CMP007872,102
CMP007873,180
CMP007874,-70
CMP007875,66
CMP007876,72
CMP007877,158
CMP007878,248
CMP007879,138
CMP007880,147
CMP007881,152
CMP007882,242
CMP007883,142
CMP007884,136
CMP007885,77
CMP007886,152
CMP007887,137
CMP007888,115
CMP007889,148
CMP007890,47
CMP007891,138
CMP007892,162
CMP007893,110
CMP007894,197
CMP007895,178
CMP007896,168
CMP007897,118
CMP007898,153
CMP007899,10
CMP007900,130
CMP007901,137
CMP007902,132
CMP007903,229
CMP007904,74
CMP007905,164
CMP007906,81
CMP007907,210
CMP007908,323
CMP007909,36
CMP007910,208
CMP007911,68
CMP007912,65
CMP007913,195
CMP007914,219
CMP007915,76
CMP007916,151
CMP007917,165
CMP007918,119
CMP007919,49
CMP007920,61
CMP007921,106
CMP007922,-75
CMP007923,-30
CMP007924,61
CMP007925,44
CMP007926,53
CMP007927,137
CMP007928,69
CMP007929,-55
CMP007930,85
CMP007931,83
CMP007932,57
CMP007933,86
CMP007934,94
CMP007935,77
CMP007936,118
CMP007937,103
CMP007938,59
CMP007939,121
CMP007940,85
CMP007941,118
CMP007942,106
CMP007943,119
CMP007944,67
CMP007945,69
CMP007946,57
CMP007947,86
CMP007948,94
CMP007949,76
CMP007950,119
CMP007951,83
CMP007952,98
CMP007953,80
CMP007954,96
CMP007955,60
CMP007956,-28
CMP007957,98
CMP007958,135
CMP007959,74
CMP007960,77
CMP007961,78
CMP007962,81
CMP007963,122
CMP007964,119
CMP007965,110
CMP007966,112
CMP007967,86
CMP007968,38
CMP007969,66
CMP007970,75
CMP007971,83
CMP007972,60
CMP007973,49
CMP007974,87
CMP007975,95
CMP007976,134
CMP007977,61
CMP007978,90
CMP007979,78
CMP007980,40
CMP007981,89
CMP007982,57
CMP007983,82
CMP007984,59
CMP007985,117
CMP007986,96
CMP007987,111
CMP007988,111
CMP007989,69
CMP007990,50
CMP007991,45
CMP007992,87
CMP007993,97
CMP007994,134
CMP007995,61
CMP007996,79
CMP007997,107
CMP007998,79
CMP007999,88
CMP008000,90
CMP008001,62
CMP008002,116
CMP008003,109
CMP008004,42
CMP008005,91
CMP008006,104
CMP008007,64
CMP008008,206
CMP008009,69
CMP008010,-78
CMP008011,-64
CMP008012,-22
CMP008013,-92
CMP008014,-10
CMP008015,-124
CMP008016,-92
CMP008017,-75
CMP008018,-19
CMP008019,-113
CMP008020,-88
CMP008021,-78
CMP008022,95
CMP008023,158
CMP008024,159
CMP008025,110
CMP008026,148
CMP008027,15
CMP008028,36
CMP008029,90
CMP008030,88
CMP008031,-30
CMP008032,-37
CMP008033,45
CMP008034,-10
CMP008035,55
CMP008036,97
CMP008037,-7
CMP008038,-40
CMP008039,37
CMP008040,54
CMP008041,-20
CMP008042,-32
CMP008043,-64
CMP008044,-46
CMP008045,125
CMP008046,45
CMP008047,76
CMP008048,147
CMP008049,154
CMP008050,134
CMP008051,141
CMP008052,183
CMP008053,115
CMP008054,144
CMP008055,171
CMP008056,149
CMP008057,169
CMP008058,41
CMP008059,59
CMP008060,22
CMP008061,-91
CMP008062,48
CMP008063,-48
CMP008064,57
CMP008065,18
CMP008066,-95
CMP008067,76
CMP008068,-80
CMP008069,-45
CMP008070,-63
CMP008071,-57
CMP008072,109
CMP008073,42
CMP008074,96
CMP008075,97
CMP008076,135
CMP008077,130
CMP008078,120
CMP008079,238
CMP008080,162
CMP008081,59
CMP008082,-32
CMP008083,77
CMP008084,6
CMP008085,-89
CMP008086,-29
CMP008087,-72
CMP008088,51
CMP008089,35
CMP008090,152
CMP008091,153
CMP008092,27
CMP008093,-57
CMP008094,79
CMP008095,-8
CMP008096,130
CMP008097,-21
CMP008098,68
CMP008099,87
CMP008100,-4
CMP008101,11
CMP008102,156
CMP008103,218
CMP008104,95
CMP008105,66
CMP008106,134
CMP008107,66
CMP008108,-26
CMP008109,-70
CMP008110,33
CMP008111,-53
CMP008112,62
CMP008113,28
CMP008114,20
CMP008115,-57
CMP008116,52
CMP008117,99
CMP008118,-36
CMP008119,10
CMP008120,-61
CMP008121,40
CMP008122,46
CMP008123,95
CMP008124,186
CMP008125,53
CMP008126,10
CMP008127,52
CMP008128,38
CMP008129,-100
CMP008130,-75
CMP008131,-58
CMP008132,187
CMP008133,119
CMP008134,57
CMP008135,-30
CMP008136,118
CMP008137,57
CMP008138,177
CMP008139,89
CMP008140,79
CMP008141,74
CMP008142,196
CMP008143,151
CMP008144,150
CMP008145,148
CMP008146,74
CMP008147,97
CMP008148,-92
CMP008149,-93
CMP008150,-69
CMP008151,-76
CMP008152,-100
CMP008153,102
CMP008154,108
CMP008155,97
CMP008156,129
CMP008157,73
CMP008158,134
CMP008159,16
CMP008160,81
CMP008161,51
CMP008162,106
CMP008163,6
CMP008164,9
CMP008165,67
CMP008166,49
CMP008167,-5
CMP008168,10
CMP008169,41
CMP008170,114
CMP008171,-26
CMP008172,86
CMP008173,64
CMP008174,138
CMP008175,49
CMP008176,6
CMP008177,229
CMP008178,32
CMP008179,224
CMP008180,87
CMP008181,-66
CMP008182,96
CMP008183,18
CMP008184,13
CMP008185,-45
CMP008186,17
CMP008187,-63
CMP008188,201
CMP008189,136
CMP008190,14
CMP008191,6
CMP008192,-4
CMP008193,102
CMP008194,346
CMP008195,20
CMP008196,57
CMP008197,130
CMP008198,-35
CMP008199,156
CMP008200,10
CMP008201,105
CMP008202,123
CMP008203,-24
CMP008204,-14
CMP008205,88
CMP008206,-12
CMP008207,-86
CMP008208,126
CMP008209,-25
CMP008210,94
CMP008211,55
CMP008212,61
CMP008213,151
CMP008214,11
CMP008215,58
CMP008216,147
CMP008217,114
CMP008218,33
CMP008219,-68
CMP008220,226
CMP008221,232
CMP008222,-29
CMP008223,125
CMP008224,114
CMP008225,53
CMP008226,35
CMP008227,262
CMP008228,95
CMP008229,26
CMP008230,102
CMP008231,2
CMP008232,34
CMP008233,76
CMP008234,-24
CMP008235,80
CMP008236,159
CMP008237,112
CMP008238,-130
CMP008239,256
CMP008240,-90
CMP008241,-16
CMP008242,128
CMP008243,278
CMP008244,99
CMP008245,102
CMP008246,176
CMP008247,-30
CMP008248,42
CMP008249,260
CMP008250,184
CMP008251,57
CMP008252,156
CMP008253,100
CMP008254,155
CMP008255,69
CMP008256,154
CMP008257,151
CMP008258,-38
CMP008259,-33
CMP008260,-21
CMP008261,72
CMP008262,183
CMP008263,-1
CMP008264,127
CMP008265,43
CMP008266,69
CMP008267,77.5
CMP008268,-24
CMP008269,-45
CMP008270,107
CMP008271,65
CMP008272,19
CMP008273,66
CMP008274,84
CMP008275,161
CMP008276,137
CMP008277,112
CMP008278,-127
CMP008279,-25
CMP008280,218
CMP008281,142
CMP008282,91
CMP008283,344
CMP008284,132
CMP008285,74
CMP008286,151
CMP008287,234
CMP008288,140
CMP008289,12
CMP008290,104
CMP008291,44
CMP008292,-53
CMP008293,-53
CMP008294,110
CMP008295,-11
CMP008296,128
CMP008297,131
CMP008298,36
CMP008299,115
CMP008300,233
CMP008301,93
CMP008302,3
CMP008303,140
CMP008304,317
CMP008305,199
CMP008306,-53
CMP008307,-61
CMP008308,18
CMP008309,-81
CMP008310,78
CMP008311,-21
CMP008312,-44
CMP008313,-92
CMP008314,-94
CMP008315,18
CMP008316,-49
CMP008317,-112
CMP008318,178
CMP008319,214
CMP008320,-6
CMP008321,159
CMP008322,138
CMP008323,128
CMP008324,69
CMP008325,41
CMP008326,5
CMP008327,118
CMP008328,150
CMP008329,112
CMP008330,180
CMP008331,117
CMP008332,44
CMP008333,28
CMP008334,-2
CMP008335,102
CMP008336,25
CMP008337,92
CMP008338,18
CMP008339,21
CMP008340,12
CMP008341,53
CMP008342,19
CMP008343,200
CMP008344,85
CMP008345,150
CMP008346,-8
CMP008347,-42
CMP008348,64
CMP008349,136
CMP008350,90
CMP008351,59
CMP008352,-21
CMP008353,205
CMP008354,258
CMP008355,111
CMP008356,106
CMP008357,123
CMP008358,80
CMP008359,77
CMP008360,8
CMP008361,150
CMP008362,-4
CMP008363,132
CMP008364,143
CMP008365,21
CMP008366,133
CMP008367,283
CMP008368,43
CMP008369,165
CMP008370,-63
CMP008371,111
CMP008372,11
CMP008373,-57
CMP008374,158
CMP008375,-2
CMP008376,47
CMP008377,170
CMP008378,-15
CMP008379,95
CMP008380,68
CMP008381,70
CMP008382,50
CMP008383,254
CMP008384,146
CMP008385,96
CMP008386,295
CMP008387,93
CMP008388,187
CMP008389,129
CMP008390,30
CMP008391,265
CMP008392,111
CMP008393,34
CMP008394,132
CMP008395,194
CMP008396,181
CMP008397,169
CMP008398,147
CMP008399,333
CMP008400,168
CMP008401,-7
CMP008402,97
CMP008403,57
CMP008404,140
CMP008405,137
CMP008406,159
CMP008407,50
CMP008408,135
CMP008409,145
CMP008410,133
CMP008411,6
CMP008412,-5
CMP008413,-99
CMP008414,-75
CMP008415,63
CMP008416,186
CMP008417,-27
CMP008418,134
CMP008419,55
CMP008420,24
CMP008421,29
CMP008422,-38
CMP008423,-75
CMP008424,71
CMP008425,115
CMP008426,-31
CMP008427,143
CMP008428,155
CMP008429,187
CMP008430,120
CMP008431,124
CMP008432,54
CMP008433,17
CMP008434,188
CMP008435,183
CMP008436,255
CMP008437,236
CMP008438,200
CMP008439,92
CMP008440,166
CMP008441,365
CMP008442,202
CMP008443,27
CMP008444,112
CMP008445,207
CMP008446,116
CMP008447,173
CMP008448,226
CMP008449,81
CMP008450,21
CMP008451,-62
CMP008452,-38
CMP008453,-69
CMP008454,25
CMP008455,-20
CMP008456,108
CMP008457,39
CMP008458,-26
CMP008459,-94
CMP008460,10
CMP008461,-109
CMP008462,37
CMP008463,7
CMP008464,-67
CMP008465,-58
CMP008466,-41
CMP008467,47
CMP008468,88
CMP008469,143
CMP008470,61
CMP008471,191
CMP008472,244
CMP008473,115
CMP008474,-22
CMP008475,256
CMP008476,28
CMP008477,198
CMP008478,55
CMP008479,19
CMP008480,-85
CMP008481,-4
CMP008482,-30
CMP008483,-82
CMP008484,71
CMP008485,77
CMP008486,156
CMP008487,115
CMP008488,62
CMP008489,-108
CMP008490,-49
CMP008491,-96
CMP008492,36
CMP008493,15
CMP008494,-60
CMP008495,-60
CMP008496,5
CMP008497,114
CMP008498,-75
CMP008499,-100
CMP008500,150
CMP008501,-1
CMP008502,218
CMP008503,224
CMP008504,283
CMP008505,130
CMP008506,237
CMP008507,182
CMP008508,88
CMP008509,118
CMP008510,348
CMP008511,270
CMP008512,147
CMP008513,-33
CMP008514,56
CMP008515,112
CMP008516,-17
CMP008517,116
CMP008518,17
CMP008519,129
CMP008520,98
CMP008521,-52
CMP008522,-105
CMP008523,-38
CMP008524,358
CMP008525,130
CMP008526,134
CMP008527,181
CMP008528,128
CMP008529,60
CMP008530,139
CMP008531,30
CMP008532,84
CMP008533,108
CMP008534,86
CMP008535,167
CMP008536,122
CMP008537,139
CMP008538,-15
CMP008539,167
CMP008540,177
CMP008541,212
CMP008542,188
CMP008543,317
CMP008544,51
CMP008545,252
CMP008546,64
CMP008547,129
CMP008548,-93
CMP008549,21
CMP008550,13
CMP008551,31
CMP008552,221
CMP008553,104
CMP008554,174
CMP008555,113
CMP008556,234
CMP008557,217
CMP008558,117
CMP008559,218
CMP008560,21
CMP008561,-99
CMP008562,33
CMP008563,185
CMP008564,247
CMP008565,-88
CMP008566,-136
CMP008567,9
CMP008568,30
CMP008569,180
CMP008570,133
CMP008571,167
CMP008572,-113
CMP008573,11
CMP008574,194
CMP008575,232
CMP008576,112
CMP008577,50
CMP008578,173
CMP008579,58
CMP008580,173
CMP008581,110
CMP008582,54
CMP008583,26
CMP008584,22
CMP008585,56
CMP008586,-8
CMP008587,135
CMP008588,19
CMP008589,36
CMP008590,72
CMP008591,124
CMP008592,267
CMP008593,62
CMP008594,190
CMP008595,100
CMP008596,125
CMP008597,145
CMP008598,8
CMP008599,43
CMP008600,7
CMP008601,-70
CMP008602,93
CMP008603,96
CMP008604,132
CMP008605,-74
CMP008606,160
CMP008607,56
CMP008608,-44
CMP008609,-146
CMP008610,73
CMP008611,-85
CMP008612,-57
CMP008613,-127
CMP008614,77
CMP008615,156
CMP008616,20
CMP008617,-170
CMP008618,134
CMP008619,-85
CMP008620,-55
CMP008621,28
CMP008622,-61
CMP008623,-112
CMP008624,-115
CMP008625,-7
CMP008626,-50
CMP008627,-45
CMP008628,-35
CMP008629,49
CMP008630,95
CMP008631,-157
CMP008632,-15
CMP008633,-65
CMP008634,118
CMP008635,-40
CMP008636,-80
CMP008637,-59
CMP008638,68
CMP008639,187
CMP008640,39
CMP008641,146
CMP008642,-34
CMP008643,-53
CMP008644,-46
CMP008645,-78
CMP008646,6
CMP008647,33
CMP008648,17
CMP008649,-57
CMP008650,68
CMP008651,-97
CMP008652,141
CMP008653,156
CMP008654,-32
CMP008655,-95
CMP008656,11
CMP008657,-49
CMP008658,-33
CMP008659,-20
CMP008660,-80
CMP008661,-80
CMP008662,-34
CMP008663,-65
CMP008664,67
CMP008665,15
CMP008666,-39
CMP008667,55
CMP008668,-93
CMP008669,50
CMP008670,23
CMP008671,166
CMP008672,127
CMP008673,147
CMP008674,197
CMP008675,93
CMP008676,163
CMP008677,135
CMP008678,106
CMP008679,80
CMP008680,156
CMP008681,161
CMP008682,43
CMP008683,152
CMP008684,84
CMP008685,146
CMP008686,98
CMP008687,200
CMP008688,29
CMP008689,65
CMP008690,62
CMP008691,114
CMP008692,103
CMP008693,80
CMP008694,131
CMP008695,172
CMP008696,128
CMP008697,117
CMP008698,-35
CMP008699,24
CMP008700,100
CMP008701,74
CMP008702,30
CMP008703,102
CMP008704,63
CMP008705,42
CMP008706,53
CMP008707,114
CMP008708,58
CMP008709,-2
CMP008710,28
CMP008711,330
CMP008712,134
CMP008713,168
CMP008714,203
CMP008715,-92
CMP008716,103
CMP008717,-34
CMP008718,60
CMP008719,-96
CMP008720,-9
CMP008721,-110
CMP008722,214
CMP008723,211
CMP008724,82
CMP008725,44
CMP008726,22
CMP008727,-100
CMP008728,-80
CMP008729,-39
CMP008730,21
CMP008731,-95
CMP008732,-132
CMP008733,85
CMP008734,-28
CMP008735,-20
CMP008736,245
CMP008737,176
CMP008738,124
CMP008739,94
CMP008740,119
CMP008741,109
CMP008742,149
CMP008743,289
CMP008744,194
CMP008745,197
CMP008746,150
CMP008747,169
CMP008748,187
CMP008749,89
CMP008750,100
CMP008751,142
CMP008752,255
CMP008753,176
CMP008754,228
CMP008755,159
CMP008756,144
CMP008757,208
CMP008758,210
CMP008759,92
CMP008760,95
CMP008761,139
CMP008762,140
CMP008763,159
CMP008764,136
CMP008765,175
CMP008766,113
CMP008767,83
CMP008768,120
CMP008769,245
CMP008770,146
CMP008771,114
CMP008772,160
CMP008773,114
CMP008774,51
CMP008775,170
CMP008776,124
CMP008777,122
CMP008778,160
CMP008779,186
CMP008780,153
CMP008781,107
CMP008782,209
CMP008783,40
CMP008784,138
CMP008785,121
CMP008786,190
CMP008787,142
CMP008788,144
CMP008789,92
CMP008790,203
CMP008791,110
CMP008792,120
CMP008793,233
CMP008794,87
CMP008795,141
CMP008796,266
CMP008797,194
CMP008798,242
CMP008799,130
CMP008800,82
CMP008801,147
CMP008802,158
CMP008803,226
CMP008804,114
CMP008805,180
CMP008806,233
CMP008807,116
CMP008808,122
CMP008809,106
CMP008810,87
CMP008811,156
CMP008812,135
CMP008813,141
CMP008814,78
CMP008815,163
CMP008816,129
CMP008817,151
CMP008818,145
CMP008819,41
CMP008820,153
CMP008821,68
CMP008822,253
CMP008823,116
CMP008824,114
CMP008825,118
CMP008826,199
CMP008827,61
CMP008828,189
CMP008829,169
CMP008830,152
CMP008831,219
CMP008832,164
CMP008833,148
CMP008834,185
CMP008835,267
CMP008836,223
CMP008837,272
CMP008838,269
CMP008839,75
CMP008840,114
CMP008841,208
CMP008842,180
CMP008843,171
CMP008844,103
CMP008845,156
CMP008846,94
CMP008847,142
CMP008848,181
CMP008849,126
CMP008850,166
CMP008851,238
CMP008852,100
CMP008853,224
CMP008854,106
CMP008855,100
CMP008856,160
CMP008857,156
CMP008858,147
CMP008859,170
CMP008860,164
CMP008861,180
CMP008862,118
CMP008863,149
CMP008864,78
CMP008865,280
CMP008866,124
CMP008867,152
CMP008868,75
CMP008869,88
CMP008870,156
CMP008871,345
CMP008872,205
CMP008873,230
CMP008874,82
CMP008875,94
CMP008876,156
CMP008877,48
CMP008878,91
CMP008879,101
CMP008880,233
CMP008881,170
CMP008882,102
CMP008883,106
CMP008884,175
CMP008885,86
CMP008886,198
CMP008887,119
CMP008888,136
CMP008889,285
CMP008890,120
CMP008891,60
CMP008892,177
CMP008893,75
CMP008894,162
CMP008895,189
CMP008896,69
CMP008897,157
CMP008898,128
CMP008899,146
CMP008900,190
CMP008901,157
CMP008902,234
CMP008903,178
CMP008904,96
CMP008905,154
CMP008906,270
CMP008907,148
CMP008908,133
CMP008909,164
CMP008910,108
CMP008911,96
CMP008912,164
CMP008913,156
CMP008914,116
CMP008915,245
CMP008916,90
CMP008917,161
CMP008918,57
CMP008919,138
CMP008920,83
CMP008921,178
CMP008922,197
CMP008923,184
CMP008924,271
CMP008925,188
CMP008926,156
CMP008927,183
CMP008928,85
CMP008929,228
CMP008930,149
CMP008931,124
CMP008932,156
CMP008933,160
CMP008934,107
CMP008935,149
CMP008936,144
CMP008937,140
CMP008938,53
CMP008939,117
CMP008940,83
CMP008941,142
CMP008942,110
CMP008943,168
CMP008944,192
CMP008945,164
CMP008946,174
CMP008947,101
CMP008948,194
CMP008949,115
CMP008950,137
CMP008951,114
CMP008952,61
CMP008953,146
CMP008954,159
CMP008955,97
CMP008956,207
CMP008957,151
CMP008958,92
CMP008959,77
CMP008960,126
CMP008961,136
CMP008962,176
CMP008963,104
CMP008964,87
CMP008965,210
CMP008966,252
CMP008967,164
CMP008968,156
CMP008969,119
CMP008970,80
CMP008971,179
CMP008972,231
CMP008973,161
CMP008974,186
CMP008975,269
CMP008976,68
CMP008977,116
CMP008978,75
CMP008979,139
CMP008980,295
CMP008981,100
CMP008982,281
CMP008983,198
CMP008984,142
CMP008985,122
CMP008986,147
CMP008987,148
CMP008988,128
CMP008989,257
CMP008990,180
CMP008991,169
CMP008992,119
CMP008993,153
CMP008994,95
CMP008995,223
CMP008996,170
CMP008997,94
CMP008998,163
CMP008999,45
CMP009000,89
CMP009001,233
CMP009002,152
CMP009003,203
CMP009004,114
CMP009005,156
CMP009006,189
CMP009007,209
CMP009008,120
CMP009009,178
CMP009010,131
CMP009011,234
CMP009012,106
CMP009013,157
CMP009014,242
CMP009015,90
CMP009016,160
CMP009017,154
CMP009018,310
CMP009019,178
CMP009020,280
CMP009021,360
CMP009022,227
CMP009023,342
CMP009024,159
CMP009025,163
CMP009026,259
CMP009027,58
CMP009028,147
CMP009029,170
CMP009030,242
CMP009031,53
CMP009032,142
CMP009033,174
CMP009034,108
CMP009035,198
CMP009036,260
CMP009037,186
CMP009038,97
CMP009039,70
CMP009040,45
CMP009041,199
CMP009042,240
CMP009043,156
CMP009044,97
CMP009045,78
CMP009046,185
CMP009047,254
CMP009048,178
CMP009049,308
CMP009050,177
CMP009051,128
CMP009052,254
CMP009053,230
CMP009054,192
CMP009055,254
CMP009056,72
CMP009057,230
CMP009058,198
CMP009059,103
CMP009060,165
CMP009061,200
CMP009062,113
CMP009063,171
CMP009064,285
CMP009065,249
CMP009066,238
CMP009067,254
CMP009068,266
CMP009069,250
CMP009070,196
CMP009071,290
CMP009072,240
CMP009073,261
CMP009074,280
CMP009075,260
CMP009076,265
CMP009077,280
CMP009078,262
CMP009079,265
CMP009080,283
CMP009081,287
CMP009082,295
CMP009083,294
CMP009084,230
CMP009085,192
CMP009086,302
CMP009087,301
CMP009088,200
CMP009089,262
CMP009090,260
CMP009091,240
CMP009092,270
CMP009093,284
CMP009094,240
CMP009095,222
CMP009096,264
CMP009097,300
CMP009098,218
CMP009099,213
CMP009100,297
CMP009101,292
CMP009102,295
CMP009103,279
CMP009104,292
CMP009105,248
CMP009106,175
CMP009107,279
CMP009108,238
CMP009109,281
CMP009110,235
CMP009111,293
CMP009112,290
CMP009113,281
CMP009114,264
CMP009115,288
CMP009116,282
CMP009117,272
CMP009118,158
CMP009119,123
CMP009120,334
CMP009121,242
CMP009122,215
CMP009123,202
CMP009124,211
CMP009125,179
CMP009126,226
CMP009127,231
CMP009128,236
CMP009129,253
CMP009130,294
CMP009131,75
CMP009132,156
CMP009133,186
CMP009134,131
CMP009135,185
CMP009136,209
CMP009137,164
CMP009138,134
CMP009139,148
CMP009140,161
CMP009141,210
CMP009142,189
CMP009143,171
CMP009144,186
CMP009145,199
CMP009146,306
CMP009147,229
CMP009148,49
CMP009149,97
CMP009150,79
CMP009151,198
CMP009152,202
CMP009153,184
CMP009154,219
CMP009155,249
CMP009156,208
CMP009157,193
CMP009158,202
CMP009159,201
CMP009160,247
CMP009161,202
CMP009162,206
CMP009163,281
CMP009164,131
CMP009165,207
CMP009166,180
CMP009167,218
CMP009168,228
CMP009169,129
CMP009170,204
CMP009171,258
CMP009172,186
CMP009173,175
CMP009174,191
CMP009175,224
CMP009176,182
CMP009177,188
CMP009178,221
CMP009179,163
CMP009180,250
CMP009181,223
CMP009182,118
CMP009183,206
CMP009184,128
CMP009185,139
CMP009186,176
CMP009187,328
CMP009188,317
CMP009189,247
CMP009190,182
CMP009191,185
CMP009192,216
CMP009193,166
CMP009194,218
CMP009195,163
CMP009196,171
CMP009197,360
CMP009198,182
CMP009199,193
CMP009200,215
CMP009201,243
CMP009202,294
CMP009203,280
CMP009204,193
CMP009205,154
CMP009206,164
CMP009207,267
CMP009208,289
CMP009209,218
CMP009210,243
CMP009211,219
CMP009212,237
CMP009213,177
CMP009214,227
CMP009215,218
CMP009216,220
CMP009217,232
CMP009218,298
CMP009219,200
CMP009220,140
CMP009221,179
CMP009222,185
CMP009223,222
CMP009224,269
CMP009225,252
CMP009226,202
CMP009227,164
CMP009228,273
CMP009229,194
CMP009230,191
CMP009231,221
CMP009232,241
CMP009233,161
CMP009234,188
CMP009235,213
CMP009236,181
CMP009237,156
CMP009238,254
CMP009239,112
CMP009240,216
CMP009241,167
CMP009242,198
CMP009243,150
CMP009244,49
CMP009245,254
CMP009246,286
CMP009247,271
CMP009248,152
CMP009249,86
CMP009250,148
CMP009251,179
CMP009252,163
CMP009253,216
CMP009254,174
CMP009255,166
CMP009256,196
CMP009257,155
CMP009258,218
CMP009259,257
CMP009260,273
CMP009261,218
CMP009262,198
CMP009263,93
CMP009264,120
CMP009265,187
CMP009266,239
CMP009267,302
CMP009268,212
CMP009269,211
CMP009270,160
CMP009271,114
CMP009272,151
CMP009273,182
CMP009274,213
CMP009275,139
CMP009276,280
CMP009277,234
CMP009278,208
CMP009279,172
CMP009280,206
CMP009281,194
CMP009282,199
CMP009283,206
CMP009284,171
CMP009285,221
CMP009286,153
CMP009287,199
CMP009288,190
CMP009289,163
CMP009290,262
CMP009291,232
CMP009292,123
CMP009293,146
CMP009294,96
CMP009295,236
CMP009296,93
CMP009297,222
CMP009298,209
CMP009299,146
CMP009300,191
CMP009301,233
CMP009302,185
CMP009303,109
CMP009304,245
CMP009305,255
CMP009306,174
CMP009307,152
CMP009308,146
CMP009309,222
CMP009310,112
CMP009311,179
CMP009312,185
CMP009313,200
CMP009314,138
CMP009315,129
CMP009316,150
CMP009317,210
CMP009318,271
CMP009319,209
CMP009320,128
CMP009321,235
CMP009322,155
CMP009323,107
CMP009324,159
CMP009325,156
CMP009326,155
CMP009327,258
CMP009328,74
CMP009329,311
CMP009330,169
CMP009331,180
CMP009332,50
CMP009333,139
CMP009334,204
CMP009335,132
CMP009336,133
CMP009337,250
CMP009338,262
CMP009339,228
CMP009340,228
CMP009341,105
CMP009342,289
CMP009343,156
CMP009344,150
CMP009345,134
CMP009346,105
CMP009347,202
CMP009348,178
CMP009349,220
CMP009350,203
CMP009351,138
CMP009352,146
CMP009353,161
CMP009354,122
CMP009355,146
CMP009356,215
CMP009357,217
CMP009358,231
CMP009359,183
CMP009360,122
CMP009361,145
CMP009362,193
CMP009363,221
CMP009364,188
CMP009365,233
CMP009366,256
CMP009367,200
CMP009368,108
CMP009369,276
CMP009370,188
CMP009371,188
CMP009372,134
CMP009373,251
CMP009374,168
CMP009375,240
CMP009376,212
CMP009377,117
CMP009378,181
CMP009379,135
CMP009380,167
CMP009381,149
CMP009382,130
CMP009383,56
CMP009384,111
CMP009385,152
CMP009386,190
CMP009387,92
CMP009388,141
CMP009389,89
CMP009390,200
CMP009391,164
CMP009392,106
CMP009393,87
CMP009394,28
CMP009395,157
CMP009396,206
CMP009397,137
CMP009398,151
CMP009399,176
CMP009400,174
CMP009401,85
CMP009402,188
CMP009403,147
CMP009404,132
CMP009405,169
CMP009406,148
CMP009407,117
CMP009408,187
CMP009409,233
CMP009410,212
CMP009411,215
CMP009412,139
CMP009413,198
CMP009414,291
CMP009415,246
CMP009416,183
CMP009417,197
CMP009418,212
CMP009419,222
CMP009420,244
