Molecule,TOPK,MAP4K4,CDC42BPA,MST1R,CSF1R,KIAA1811,MAP2K2,DYRK1A,IKBKE,MAPK10,MAP3K10,CAMK2A,IKBKB,NLK,AXL,LTK,CSNK1G3,MAPK14,FRK,STK3,CSNK1G2,PRKCQ,NTRK3,MATK,RPS6KA3,CLK2,MAP2K1,JAK2,PRKCZ,PRKG1,PHKG2,PLK3,TBK1,AKT3,PASK,PRKAA1,PRKG2,PRKCD,ALK,PLK4,RET,PRKD2,RPS6KB1,HCK,CAMK2G,EEF2K,SYK,MARK4,TYRO3,PRKCN,STK22B,STK17A,LCK,DAPK3,CHEK2,ACVR1,ROCK2,CDK2,SRPK1,MAPK8,PIM1,STK6,MAPKAPK5,MAPKAPK2,STK33,CDC7,RPS6KA4,BTK,KIT,CSNK2A1,PAK4,PAK1,CAMK2D,AKT2,FGFR1,CSNK1A1,JAK3,CSNK1G1,RPS6KA5,LYN,MAPK9,ITK,PKN2,LIMK1,TAO1,ROS1,BLK,STK22D,HIPK2,CAMKK2,MARK3,NTRK1,FES,INSR,PTK2B,MAPK13,BRAF,ZAK,PIM3,TYK2,EGFR,PRKCG,SRC,BMX,SRMS,GSK3A,MAP4K2,DYRK3,WEE1,MET,CHUK,ACK1,PDGFRB,FLT3,ERBB2,MAPKAPK3,CHEK1,CSNK1D,SIK2,ABL1,MKNK2,CAMK2B,KDR,GPRK5,CDK5,EPHA2,IGF1R,SGK,MAPK1,MINK,NEK4,DYRK4,PRKCI,DYRK1B,PRKX,PTK2,IRAK1,PTK6,MELK,PDGFRA,LRRK2,STK12,IRAK4,AKT1,MAP4K5,CAMK1D,FLT4,CDC2L6,ROCK1,FER,CAMK1,FYN,HIPK4,CDC2,PIM2,PDPK1,DCAMKL1,NEK2,CDK8,CDK7,FLT1,SLK,FGFR3,PLK1,GSK3B,CDK9,NTRK2,ERBB4,MARK2,PRKACA,MAPK12,CLK4
CHEMBL1977346,,6309.57,,,,1584.89,,,,,,,,,,,,,,2511.89,,,125.89,,,794.33,,,,,1995.26,,,,,398.11,,,,158.49,794.33,,,,5011.87,,794.33,,,,,1995.26,,,1584.89,,,316.23,,,,199.53,,,,,,,,,,,3162.28,,1584.89,3162.28,,,,,,,,10000,,501.19,,,2511.89,,6309.57,,,,,,,,,,,,,,,79.43,,,,,,,,1000,,,,794.33,,,,,1995.26,,251.19,,,3981.07,,,,,,,,,,,,,,1584.89,,,5011.87,,5011.87,,,501.19,,,,1258.93,,,,,,,79.43,2511.89,398.11,,100,,,,,,,251.19
CHEMBL1977374,,316.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.26,,,,,,,,,,,,,,,,,,,,794.33,,,,,,,,,,,,,,,,,1258.93,,,,,,,,,,,,316.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1977681,,199.53,,,,630.96,,,,,,,,,,,1000,,,,501.19,,398.11,,3981.07,398.11,,,,,,,,,,,,,,1584.89,794.33,125.89,,,3162.28,,,,,199.53,,199.53,,398.11,158.49,,,5011.87,,,630.96,,,,,,,,,1000,,,1995.26,,3981.07,,,1258.93,,,398.11,,3981.07,,,,,,501.19,,1995.26,,398.11,,,,,,316.23,,,,,,,630.96,794.33,630.96,,,,,,158.49,,,,,,,1258.93,7943.28,398.11,,6309.57,,,3162.28,5011.87,1258.93,,,,,,,2511.89,,199.53,,,630.96,5011.87,,501.19,,794.33,,5011.87,630.96,,,794.33,1995.26,,1000,,,,,,398.11,,,794.33,,,,1258.93,,,125.89
CHEMBL1977749,,630.96,,,,,,,794.33,,,,,,,50.12,,,,,,,,,,794.33,,,,,,,2511.89,,,,,,251.19,,1584.89,,,,,,,,,,,,,3981.07,,1258.93,,,,199.53,398.11,794.33,,,,,,,,,,,,,,,,,,,630.96,,,,,,,,,,,,,,,,,,,,,,,,,,1258.93,,,316.23,,,,,,,,,,,,,1000,,398.11,,501.19,,,,,,,794.33,,1995.26,,,,,158.49,501.19,,,,,,,,,,,,,,,,,501.19,,,,,,,630.96,,,,,,25.12
CHEMBL1977931,,50118.72,,79432.82,63095.73,,,19952.62,100000,,,79432.82,,,,39810.72,,79432.82,,,,79432.82,,,79432.82,19952.62,79432.82,50118.72,,,,,63095.73,,,,,,,,39810.72,,,,,,,,63095.73,39810.72,,,,63095.73,,,,,,,79432.82,,,,,,,,,,50118.72,,,,63095.73,50118.72,79432.82,,,,,,,,39810.72,,,,,,,,,,,,,,,,,,,,,63095.73,25118.86,,,39810.72,,,31622.78,,,,,,,79432.82,,,15848.93,39810.72,50118.72,,,,,,,,,19952.62,39810.72,79432.82,,,,31622.78,12589.25,,,,,63095.73,,,,,,,,,,,,,,63095.73,39810.72,,,,63095.73,50118.72,,,,15848.93,,2511.89
CHEMBL1978099,,1258.93,,,251.19,6309.57,,3981.07,,,,,,,63.1,,,,398.11,3981.07,3981.07,,,125.89,1258.93,1995.26,,19.95,,,1995.26,,,,,1584.89,,,251.19,63.1,79.43,1000,3981.07,,794.33,,630.96,,25.12,,,1000,1995.26,199.53,251.19,,,100,,316.23,,15.85,,,,,,,1258.93,2511.89,5011.87,,1584.89,,251.19,,316.23,,,316.23,100,199.53,1584.89,,630.96,158.49,398.11,,1258.93,,1000,398.11,,501.19,199.53,,,,,63.1,630.96,1995.26,630.96,,,630.96,1258.93,,,,,,,15.85,1258.93,,,,,,1000,,79.43,,199.53,,,,,6309.57,1995.26,,,,,,398.11,,,,,79.43,2511.89,,3162.28,,50.12,,,,,316.23,3981.07,501.19,,794.33,,,,,39.81,316.23,251.19,,794.33,,794.33,630.96,2511.89,6309.57,3162.28,316.23
CHEMBL1978166,,794.33,,794.33,39.81,,501.19,794.33,398.11,,,1584.89,,,,199.53,,1000,,,,1000,316.23,,316.23,3162.28,501.19,1584.89,,,,,1584.89,,,1995.26,,,630.96,,31.62,,,1258.93,,,,,199.53,501.19,,,316.23,1584.89,,3162.28,398.11,,,1995.26,1258.93,199.53,,,,,,125.89,501.19,,630.96,,,,158.49,630.96,1584.89,,,,3162.28,,,,630.96,,,,,,,630.96,,,,,,,,,,,,,,1258.93,316.23,,,316.23,,316.23,7.943,50.12,,,3162.28,,,125.89,,,3.981,2511.89,1258.93,,1000,1995.26,,,,,,630.96,398.11,630.96,,,,19.95,630.96,50.12,,,,630.96,,,199.53,,,794.33,,,,,,398.11,100,501.19,63.1,,,,630.96,1000,251.19,,,199.53,,1584.89
CHEMBL1978200,,630.96,,,,,,,,,,,,,,,3162.28,,,,2511.89,,,,,,,,,,,,,,,,,,,,,3162.28,,,,,,,,1584.89,,,,,,,,,,2511.89,,,,,,,,,,,,,,,,398.11,,,,,125.89,,,,3981.07,,,,,,,,,,,,,,,,,7943.28,,,,,,,,,,,,,,,,31.62,,,,,,,,794.33,,,,2511.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.93,,,,,,,6309.57
CHEMBL1979057,,794.33,,,,,,2511.89,,,,,,,1258.93,,,,,1584.89,3162.28,,794.33,,,,,,,,,6309.57,,,,1258.93,794.33,,,39.81,,6309.57,,,,,,,,,,,,,316.23,,158.49,,3981.07,,3981.07,39.81,,,,,,,,,,,,,,,,5011.87,,,,1000,,,10000,,,,2511.89,,,,,,,,,,,,,,,,,3981.07,1995.26,,,,,,,1584.89,,,,6309.57,,,2511.89,,,,,,,5011.87,,3981.07,1995.26,,,,,,6309.57,,251.19,,,31.62,,,1000,,6309.57,,199.53,,,,158.49,,,,,,,,,1000,,,5011.87,,,,3162.28,,,1995.26
CHEMBL1979093,,3162.28,,,501.19,,,,,,,,,31.62,50.12,,,,251.19,1000,,,,,398.11,1584.89,,,,,,,,,,,,,,,63.1,,158.49,,3162.28,,,,,6309.57,,,199.53,,,,251.19,,5011.87,,10000,100,,,,,,,501.19,,,,,,794.33,,,,251.19,158.49,,,,,6309.57,,158.49,,316.23,,2511.89,630.96,,,,,,,,,,,1995.26,,,,501.19,3981.07,,,,,,39.81,,,,,,,501.19,,100,,,1995.26,,,,1995.26,,,,,,,,,,,,3.981,,,19.95,,316.23,,316.23,794.33,,630.96,39.81,,,1584.89,,5011.87,,,12.59,2511.89,,,6309.57,,630.96,,1995.26,,,3981.07
CHEMBL1979357,,6309.57,5011.87,,,,,1995.26,,,,,,,,,,,,,,,,,5011.87,,,,,39.81,,,,5011.87,,,794.33,3162.28,,,,,1258.93,,,,,,,,,398.11,,,,,316.23,,,,7943.28,,,,,,,,,,,,,3162.28,,,,,,,,,794.33,5011.87,,,,,,,,,,,,,,,,,,7943.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6309.57,,630.96,,,,,316.23,,,,6309.57,,,,,,,,,,,,,,,,,50.12,,1000
CHEMBL1979516,,398.11,,,50.12,,,,,,,,,,10,,,,39.81,50.12,,,12.59,1995.26,,,,1584.89,,,,,,,,,,,15.85,,3.162,,794.33,,,,398.11,,,,,,7.943,,,,794.33,,,,,1.995,,,,,,63.1,25.12,,,,,,12.59,,251.19,,,10,,5.012,,,1995.26,,12.59,,,,3981.07,,794.33,316.23,,,,,,,,,100,,1000,,158.49,,,12.59,,,,,,,,,,,,,,,,125.89,,,,,,,,,,,,,,,,,,,,,,,6309.57,251.19,,31.62,398.11,,,,,158.49,,,1.585,31.62,31.62,,,,,1000,398.11,,,
CHEMBL1979577,,501.19,,,7.943,7943.28,,,,,,,,,7.943,,,,,3981.07,6309.57,,,,251.19,398.11,,,,,3162.28,,,,398.11,,,2511.89,,100,,3162.28,7.943,,1584.89,,,,,3162.28,,,316.23,794.33,1584.89,,25.12,,,,3162.28,50.12,,,,,,,39.81,,,6309.57,1584.89,,63.1,6309.57,,1995.26,39.81,199.53,1258.93,501.19,5011.87,1584.89,125.89,,158.49,,794.33,,501.19,199.53,,2511.89,,1995.26,,1584.89,,,,,398.11,,,,316.23,1995.26,,398.11,,,,3.162,,,,,,316.23,794.33,2511.89,10,,,158.49,,3162.28,,1258.93,1995.26,,,,,1258.93,7943.28,,125.89,,,3.162,,,19.95,,3.162,,158.49,,1258.93,398.11,12.59,,,1258.93,,501.19,,,1,199.53,501.19,,1258.93,,158.49,,398.11,,,5011.87
CHEMBL1979690,,398.11,,398.11,15.85,,158.49,630.96,630.96,,,,,,,15.85,,,,,,1995.26,630.96,,125.89,251.19,125.89,2.512,,,,,100,,,100,,,25.12,,5.012,,,,,,,,199.53,100,,,31.62,199.53,,100,,,,39.81,1000,19.95,,,,,,398.11,,,125.89,,,,79.43,3981.07,19.95,,,,125.89,,,316.23,50.12,,,,,,,398.11,,,,,,,,,,,,,,3981.07,501.19,,7.943,199.53,,63.1,39.81,31.62,,,630.96,,,100,,,12.59,,100,,15.85,,,,,,,100,1995.26,63.1,,,,199.53,15.85,158.49,,,,794.33,,,251.19,,,158.49,,,,,,2511.89,,79.43,79.43,,,,,501.19,100,,,100,,25.12
CHEMBL1979883,,630.96,,,12.59,,,,,,,,,,5.012,,5011.87,,39.81,1000,3981.07,,19.95,1584.89,398.11,3162.28,,,,,5011.87,,,,,,,,100,50.12,10,5011.87,39.81,,1258.93,,1584.89,,316.23,3162.28,,,158.49,,,,63.1,,1995.26,,3162.28,31.62,,,,,199.53,398.11,25.12,,,,2511.89,,100,,,2511.89,5.012,63.1,794.33,316.23,,1995.26,199.53,1000,79.43,,1000,,1000,1258.93,,1584.89,,1584.89,,2511.89,,,,,398.11,,,,398.11,1995.26,,630.96,,,,5.012,,,,,,158.49,398.11,6309.57,12.59,,,100,,6309.57,,794.33,2511.89,,2511.89,,,251.19,,,1000,,,,,,6.31,,3.981,,199.53,251.19,1584.89,199.53,19.95,,,1995.26,,398.11,,,0.7943,125.89,316.23,,2511.89,,125.89,2511.89,794.33,,,3981.07
CHEMBL1980144,,100,5011.87,,,158.49,,,,,,,,,251.19,,5011.87,,,398.11,,,,,3162.28,,,,,501.19,3981.07,7943.28,,,,251.19,,7943.28,,10,,,,,,,,,,10000,,,630.96,,3.162,,,,3981.07,,7943.28,6.31,,7943.28,,,,,,,,,,1995.26,,,,,,,,,,7943.28,,,316.23,,,,6309.57,,,,,,,,6309.57,,,,,,,,63.1,,,1584.89,,,,,,,,,,,251.19,,,,,,,,,199.53,,,,,,,,,,,,,3981.07,,199.53,,,,5011.87,,,,,398.11,,251.19,,,,,,199.53,,6309.57,2511.89,,,,6309.57,,,3162.28
CHEMBL1980178,,158.49,,,,,,25.12,,,,,,,,,,,,316.23,,,,,,50.12,,,,,,,,,,,,,,,,,,,,,,,,398.11,,630.96,,125.89,,,79.43,501.19,,,125.89,,,,,0.7943,,,,,158.49,,630.96,,,1995.26,1258.93,,,,,,39.81,,,,,,100,,,,,,,,,,,,,,,,,,630.96,,,,,,,50.12,,,,,,,,,,,199.53,,,,,79.43,,,,,100,,,,,,,,,,1258.93,,,,,,,,,,,,,,3.162,251.19,,,,,794.33,125.89,,,,158.49,,
CHEMBL1980253,,19.95,,,,,,12.59,,,,,,,,,,,,125.89,,,,,,15.85,,316.23,,,,,,,,,,,,,,,,,,,,,,79.43,,199.53,,199.53,,,79.43,63.1,,,630.96,,,,,0.3162,,,,,125.89,,398.11,,,398.11,100,,,,,,79.43,,,,,,125.89,,,,,,,,,,,,,,,,,316.23,199.53,,,,,,,31.62,,,,,,,,,,,63.1,,,,,15.85,,,,,158.49,,,,19.95,,,,,,398.11,,,,,,,,,,,,,,,251.19,,,,,251.19,25.12,,,,158.49,,
CHEMBL1980297,,50.12,,10,3.162,1584.89,125.89,,25.12,,,,,,1.585,39.81,,1258.93,1.995,15.85,1995.26,,6.31,39.81,630.96,,100,1584.89,,,,,,,,1995.26,,6309.57,199.53,10,2.512,501.19,100,,5011.87,,50.12,,63.1,1995.26,,794.33,1.995,,79.43,398.11,31.62,,,,,1.995,,,,,,25.12,15.85,,,1258.93,3162.28,,63.1,,,1584.89,1000,1.995,,12.59,2511.89,1995.26,630.96,5.012,2.512,,158.49,,316.23,63.1,,100,1258.93,5011.87,,501.19,,794.33,501.19,,31.62,,25.12,,7.943,,,3.981,,7.943,0.5012,15.85,501.19,,,1258.93,,3.162,199.53,6309.57,1,,,63.1,199.53,2511.89,,50.12,199.53,,3162.28,,,125.89,3981.07,,251.19,0.7943,25.12,0.7943,6309.57,,,1000,3.162,,158.49,50.12,1000,63.1,19.95,,,794.33,,12.59,158.49,,12.59,7.943,39.81,,,,10,199.53,251.19,,,1000
CHEMBL1980329,,19.95,,63.1,1258.93,,,,,,,2511.89,,,,3.981,,2511.89,,,,316.23,794.33,,31.62,,1258.93,5.012,,,,,1258.93,,,158.49,,,12.59,,7.943,,,,,,,,1995.26,,,,1000,7.943,,3162.28,,,,,251.19,,,,,,,,,,,,,,1258.93,,19.95,,,,,,,2511.89,398.11,,,,,,,1995.26,,,,,,,,,,,,,,630.96,31.62,,,2511.89,,,39.81,,,,19.95,,,50.12,,,12.59,501.19,,,,,,,,,,398.11,1995.26,,,,,501.19,7.943,19.95,,,,501.19,,,,,,,,,,,,,,,19.95,,,,501.19,79.43,630.96,,,,,1258.93
CHEMBL1980376,,10000,,50118.72,15848.93,,,12589.25,,,,,,,,7943.28,,,,,,,63095.73,,,,1995.26,,,,,,,,,,,,100000,,,,,,,,,,31622.78,,,,100000,,,3162.28,,,,39810.72,5011.87,,,,,,,,,,,,,,79432.82,25118.86,,,,,,,,19952.62,,,,,,,,63095.73,,,,,,,,,,,,,,,3162.28,,,31622.78,,,7943.28,63095.73,,,39810.72,,,25118.86,,,100000,79432.82,5011.87,,,,,,,,,10000,,,,,,15848.93,15848.93,6309.57,,,,,,,10000,,,79432.82,,,,,,,3162.28,50118.72,,,,,39810.72,39810.72,,,,10000,,5011.87
CHEMBL1980407,,5.012,,1.585,630.96,,316.23,0.3981,19.95,,,63.1,,,,125.89,,630.96,,,,3.981,15.85,,5.012,0.7943,316.23,63.1,,,,,7.943,,,3.162,,,199.53,,5.012,,,,,,,,25.12,15.85,,,251.19,5.012,,794.33,,,,1258.93,630.96,251.19,,,,,,3981.07,,,31.62,,,,125.89,1995.26,19.95,,,,1258.93,,,501.19,251.19,,,,,,,63.1,,,,,,,,,,,,,,1.259,15.85,,,316.23,,1584.89,3.162,25.12,,,251.19,,,63.1,,,0.631,39.81,0.631,,1000,,,,,,,1,39.81,1995.26,,,,125.89,6.31,39.81,,,,63.1,,,3.981,,,398.11,,,,,,1258.93,1584.89,10,0.631,,,,2.512,158.49,5.012,,,1.259,,0.3162
CHEMBL1980435,,1000,,,,,,31.62,,,,,,,,,,,,,,,,,,31.62,,794.33,,,,,,,,,,,,,,,,,,,,,,,,39.81,,12.59,,,1584.89,39.81,,,,,,,,0.7943,,,,,794.33,,1995.26,,,1258.93,,,,,,,,,,,,,31.62,,,,,,,,,,,,,,,,,6.31,1584.89,,,,,,,199.53,,,,,,,,,,,63.1,,,,,1995.26,,,,,100,,,,316.23,,,,6309.57,,1258.93,,,,,,,,,,,,,,,125.89,,,,,,1584.89,,,,3162.28,,
CHEMBL1980489,,6309.57,79.43,,,7943.28,,,,,,,,,,,158.49,,,,501.19,,,,1000,,,,,31.62,,,,,,630.96,1000,1584.89,,,,,316.23,,,,,,,,,,,,316.23,,,,,,,,,,,,,,,,,,,,,,,316.23,,,,,501.19,,,,,,,,,,,,,,,,,,,7943.28,,,,501.19,,,,,,,,,,,501.19,,,,2511.89,,,,,,,1995.26,,,3162.28,,,,,,,,,,,1258.93,,6309.57,,,3981.07,,100,,,,316.23,,,,,,,,,,,,316.23,,,,,501.19,,794.33
CHEMBL1980540,,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.43,,,,,,,,,,,,,,,,,,,1258.93
CHEMBL1980562,,50.12,,,,,,25.12,,,,,,,,,,,,199.53,,,,,,31.62,,,,,,,,,,,,,,,,,,,,,,,,,,398.11,,199.53,,,39.81,100,,,,,,,,0.2512,,,,,125.89,,398.11,,,1584.89,794.33,,,,,,125.89,,,,,,79.43,,,,,,,,,,,,,,,,,,79.43,,,,,,,15.85,,,,,,,,,,,31.62,,,,,39.81,,,,,199.53,,,,,,,,,,158.49,,,,,,,,,,,,,,,199.53,,,,,79.43,2.512,,,,50.12,,1.995
CHEMBL1980592,,5011.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3981.07,,,,794.33,,,,,19.95,,,,,,,,,,,,,,,,,,,,,,,1995.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.96,,,,,,,1258.93
CHEMBL1980671,,15848.93,,31622.78,2511.89,,39810.72,,,,,39810.72,,,,3981.07,,,,,,,,,25118.86,,31622.78,,,,,,,,,,,,10000,,2511.89,,,,,,,,100,7943.28,,,3981.07,15848.93,,501.19,,,,5011.87,63095.73,,,,,,,50118.72,,,63095.73,,,,25118.86,7943.28,,,,,31622.78,,,,25118.86,,,,,,,,,,,,,,,,,,,,,2511.89,100000,,,3981.07,,1584.89,6309.57,,,,,,,1995.26,,,1000,,1258.93,,,,,,,,,63095.73,25118.86,15848.93,,,,39810.72,,,,,,,,,7943.28,,,,,,,,,,,31622.78,10000,,,,5011.87,3981.07,,,,,,199.53
CHEMBL1980763,,3981.07,,1000,501.19,,3162.28,,,,,,,,,1258.93,,,,,,,3162.28,,1584.89,,1995.26,398.11,,,,,3162.28,,,1995.26,,,2511.89,,125.89,,,,,,,,,,,,,,,,,,,125.89,,630.96,,,,,,,,,3162.28,,,,,,1995.26,,,,1584.89,,,,,,,,,,,,,,,,,,,,,,,,,,1258.93,,,,,3981.07,,,,,1584.89,,,2511.89,,,100,,,,,,,,,,,,,3162.28,,,,2511.89,25.12,1584.89,,,,,,,1258.93,,,,,,,,,,,,2511.89,,,,,,1584.89,,,,,1995.26
CHEMBL1980896,,10000,,,25.12,5011.87,,,,,,,,,316.23,,,,1258.93,,5011.87,,794.33,1000,,2511.89,,,,,,630.96,,,,,,,,1258.93,,3981.07,,,3981.07,,,,,3162.28,,,1258.93,,,,,,6309.57,,,501.19,,,,,,794.33,,,,,3162.28,,1000,,,3981.07,,630.96,,,,1000,3981.07,,316.23,,,,,,316.23,,,,,2511.89,,,,,1258.93,,,,6309.57,1995.26,,,,,,6.31,,,,3162.28,,,3981.07,3981.07,630.96,,,,,,,,2511.89,,,,,,794.33,,,,,79.43,,,1000,,501.19,,,,,251.19,3162.28,,,,,1995.26,,,100,,,,,,1258.93,,,,,1000
CHEMBL1980995,,1.585,3.981,0.2512,7.943,,630.96,2.512,5.012,50.12,3.162,3.162,251.19,,,3.162,,,,0.3981,,1.995,1.995,,1.585,19.95,6.31,0.7943,50.12,,,1995.26,1.259,6.31,,0.3162,,,5.012,7.943,2.512,2.512,5.012,5.012,,,3.162,0.7943,10,39.81,,2.512,25.12,1.995,10,63.1,0.5012,,,100,3162.28,2.512,,79.43,,,,79.43,158.49,1584.89,7.943,5.012,,10,39.81,1258.93,1.995,,,6.31,1995.26,7.943,0.7943,100,10,0.5012,1.585,,125.89,0.1995,0.3981,6.31,,12.59,,199.53,,,,,25.12,3.162,19.95,,,15.85,5.012,,1995.26,100,50.12,1.585,0.7943,12.59,31.62,,2.512,,0.631,100,,,6.31,25.12,3.981,251.19,25.12,7.943,501.19,,,,,5.012,0.3162,100,,,0.3162,7.943,0.3981,1.995,10,,0.631,3.981,6.31,,0.7943,3.162,12.59,50.12,,3.981,3.162,1.259,,2511.89,19.95,63.1,5.012,,39.81,1258.93,31.62,12.59,0.7943,,7.943,0.7943,199.53,1.995
CHEMBL1981047,,1995.26,,63.1,158.49,398.11,,,,,,,,,,31.62,,,1.259,398.11,,,251.19,,,1258.93,,199.53,,,794.33,,,,,15.85,,6309.57,25.12,6.31,1.585,1258.93,,,1995.26,,501.19,,,501.19,,,63.1,794.33,,125.89,,501.19,,,,7.943,,,,,,199.53,,,3162.28,,1584.89,,12.59,,501.19,,,31.62,,199.53,5011.87,100,3981.07,7.943,39.81,501.19,,,50.12,794.33,19.95,,,,,,,,398.11,,5.012,,50.12,,398.11,,,,,100,,,,,,,,2.512,,7943.28,100,,1258.93,31.62,,,,,,,,,,25.12,,398.11,794.33,,794.33,15.85,,,15.85,,158.49,,,125.89,,50.12,,3162.28,,,39.81,,,10,39.81,39.81,31.62,,,,398.11,,63.1,,,1584.89
CHEMBL1981133,,5011.87,,1584.89,,,,3.162,,,,398.11,,,,,,,,,,3.162,,,158.49,2.512,,,,,,,,,,1584.89,,,,,,,,,,,,,2511.89,199.53,,,,630.96,,,,,,,501.19,,,,,,,,,,,,,,,,,,,,,,31.62,,,,,,,,,,,,,,,,,,,,,,,251.19,1995.26,,,,,,,,,,,,,,,,1258.93,3981.07,79.43,,,,,,,,,1.995,6.31,1.995,,,,,1000,,,,5.012,,,,,,,,,,,,,,316.23,,398.11,,,,158.49,199.53,,,,,,1
CHEMBL1981492,,12589.25,,,79432.82,,,39810.72,,,,,,,,10000,,,,,,,63095.73,,63095.73,63095.73,31622.78,79432.82,,,,,,,,,,,25118.86,,63095.73,,,,,,,,25118.86,50118.72,,,,50118.72,,50118.72,,,,7943.28,,,,,,,,,,,,,,,,6309.57,,,,,31622.78,,,,100000,,,,,,,,,,,,,,,,,,,,,,50118.72,,,79432.82,,,,,,,,,,100000,,,25118.86,39810.72,39810.72,,,,,,,,,19952.62,,79432.82,,,,79432.82,2511.89,15848.93,,,,,,,39810.72,,,,,,,,,,19952.62,63095.73,,,,,,39810.72,,,,10000,,3981.07
CHEMBL1981511,,794.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3162.28,501.19,,,,,,,,125.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.23,,,,,,,,,,,,,,,,,,,,,,1995.26,,,,,,,,,,,,,,,,,,,,,,630.96,,,,,,,63.1
CHEMBL1981725,,100,316.23,,31.62,,,,,,,,,,,,,,,398.11,,,,,6309.57,,,,,,3981.07,,,,,,,,,63.1,6.31,125.89,,,3162.28,,398.11,,398.11,39.81,,,1.995,125.89,794.33,,794.33,,,1258.93,,31.62,,,,,,100,79.43,,398.11,15.85,3981.07,,25.12,,,,,1.995,125.89,,3981.07,,39.81,125.89,19.95,,1000,,794.33,1995.26,,2.512,,,,158.49,,1995.26,6.31,2511.89,7.943,,199.53,,125.89,,,794.33,,,,5.012,10,,7943.28,794.33,,,5011.87,2511.89,15.85,,,100,12.59,6309.57,,,,,2511.89,,,,,12.59,,,,6.31,,,3.981,,,501.19,158.49,,1995.26,19.95,25.12,,,,,39.81,,,3.162,794.33,199.53,,,,,2.512,,,,
CHEMBL1981947,,7943.28,6309.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3981.07,,7943.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6309.57,,,,,,,7943.28,6309.57,,,,,,,,,1000,,,,,,,1000,,,,,,3981.07,5011.87,,,,,,,,2511.89,,,,,,,,,,,,,,,5011.87,,,,,,,,,,,,,,,,,,,6309.57,,,,,,,,
CHEMBL1982122,,794.33,3981.07,,,,,79.43,,,,,,,,,1584.89,,,,2511.89,,,,1000,3981.07,,,,1584.89,,,,1584.89,,,,794.33,,,,,794.33,,,,,,,10000,,,,,,,,1995.26,,,5011.87,,,,,,,,,,,,,630.96,,,,1000,,,,,125.89,,,,,,1000,,,,,,,,,,,,,501.19,,,,3162.28,3981.07,,,,,,,,,,,2511.89,,,6309.57,,,,,,,1000,6309.57,,2511.89,,,,316.23,,630.96,,,,,1584.89,,398.11,,,5011.87,,19.95,,,,398.11,,,,,,,,,,,,,,,,,125.89,,1000
CHEMBL1982135,,1995.26,,,,,,398.11,,,,,,1000,630.96,,,,,7943.28,3981.07,,,,,1995.26,,,,,,1258.93,,,,,,,,1258.93,,,,,,,,,,6309.57,,,1000,,,,,,7943.28,,,398.11,,,,,,,,,,,,,3162.28,,,2511.89,,,,,,1258.93,,,63.1,,,,,2511.89,,3162.28,,,,6309.57,,,,,,,,,199.53,3162.28,,,,,,7.943,,,,,,,100,,1584.89,,,,,,,,,,,,794.33,,,,,,,39.81,,,1258.93,,5011.87,1995.26,,,,,3162.28,,,,,6309.57,,,,1000,,,1995.26,,,,,,,199.53
CHEMBL1982271,,12.59,,,,,,10,,,,,,,,,,,,251.19,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,125.89,,251.19,,,7.943,39.81,,,501.19,,,,,0.3162,,,,,31.62,,630.96,,,79.43,100,,,,,,39.81,,,,,,31.62,,,,,,,,,,,,,,,,,,125.89,,,,,,,7.943,,,,,,,,,,,12.59,,,,,10,,,,,31.62,,,,,,,,,,39.81,,,,5.012,,,,,,,,,,1.585,39.81,,,,,251.19,5.012,,,,25.12,,1.995
CHEMBL1982400,,39.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1,100,,,251.19,,,,,7.943,,,,,,,,,,,,,,,,,,,,,,,31.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.53,,,,,,,,,,,,,,,,,,,,,,630.96,,,,,,,,,,,,,,,,,,,,,,19.95,,,,,3981.07,,3.981
